"","methanotrophy","methanogenesis_by_CO2_reduction_with_H2","methanogenesis_by_reduction_of_methyl_compounds_with_H2","hydrogenotrophic_methanogenesis","methanogenesis","methanol_oxidation","methylotrophy","aerobic_ammonia_oxidation","aerobic_nitrite_oxidation","sulfate_respiration","sulfur_respiration","nitrate_denitrification","chitinolysis","dark_hydrogen_oxidation","nitrogen_fixation","cellulolysis","xylanolysis","dark_sulfide_oxidation","dark_oxidation_of_sulfur_compounds","manganese_oxidation","fermentation","aerobic_chemoheterotrophy","invertebrate_parasites","human_pathogens_septicemia","human_pathogens_pneumonia","human_pathogens_gastroenteritis","human_pathogens_diarrhea","human_pathogens_all","human_gut","animal_parasites_or_symbionts","plant_pathogen","aromatic_hydrocarbon_degradation","aromatic_compound_degradation","aliphatic_non_methane_hydrocarbon_degradation","hydrocarbon_degradation","iron_respiration","nitrate_respiration","nitrate_reduction","intracellular_parasites","chlorate_reducers","predatory_or_exoparasitic","nonphotosynthetic_cyanobacteria","photosynthetic_cyanobacteria","anoxygenic_photoautotrophy_S_oxidizing","photoheterotrophy","ureolysis"
"PB3Outer.16S.S44",0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0.34,0,0,0,0,2.37,33.97,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0.26,0.63,1.57,0,0.74,0
"PB4Mineral.16S.S44",1.46,0,0,0,0,0,1.46,0,0,0,0,0,0,10.17,1.46,3.91,0,0,0,0,0.09,36.4,0,0,0,0,0,0.14,0,2.74,0,0,0,0,0,0,0,0.23,1.26,0,0.31,0.11,0,0,0,0
"PB4Organic.16S.S45",0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,4.77,0,0,0,0,0.94,26.37,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0.23,0,0.26,0.49,0,0.23,1.09,0,0,0,0
"PB5Inner.16S.S46",0,18.49,0,18.49,0,0,0,0,0,0,0,0,0,18.49,0,0,0,0,0,0,26.11,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PB5Mineral.16S.S46",1.77,0,0,0,0,0,1.77,0.31,0,0,0,0,0,9.09,1.77,5.49,0,0,0,0,0,39,0,0,0,0,0,0,0,2.57,0,0,0,0,0,0.11,0,0.57,0.31,0,0,0.51,0,0,0.31,0
"PB5Organic.16S.S46",0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,4.23,0,0,0,0,0.17,31.54,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0.17,0.43,0,0.69,0.31,0,0,0.46,0
"PB5Outer.16S.S46",0.31,0,0,0,0,0.31,0,0,0,0,0,0,0,1.74,0,13.49,0,0,0,0,0.94,44.49,0,0,0,0,0,0.43,0.43,0,0,0,0,0,0,0,0,0.43,0.74,0,0,0,0,0,0.43,0.31
"PB501Inner.16S.S45",0.14,0,0.14,0.14,0,0.14,0.14,0,0,0,0,0,0,0.09,0,0.06,0,0,0,0,11.29,3.74,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.14
"PB501Mineral.16S.S45",1.66,0,0,0,0,0,1.66,0.09,0,0,0,0,0,8.97,1.66,3.57,0,0,0,0,0,31.46,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0.43,0.29,0,0,0.4,0,0,0.34,0
"PB501Organic.16S.S45",0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0,8.23,0,0,0,0,0,34.91,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0.31,0,0,0,0,0.06,0.26,0,0,0.14,0
