"","Pathotroph","Saprotroph","Symbiotroph","Bryophyte Parasite","Dung Saprotroph","Ectomycorrhizal","Fungal Parasite","Leaf Saprotroph","Plant Parasite","Wood Saprotroph","Animal Pathogen","Endophyte","Plant Pathogen","Lichen Parasite","Litter Saprotroph","Soil Saprotroph","Plant Saprotroph","Epiphyte","Lichenized","Arbuscular Mycorrhizal","Endomycorrhizal","Ericoid Mycorrhizal","Orchid Mycorrhizal","Root Associated Biotroph","Clavicipitaceous Endophyte","Animal Endosymbiont"
"H3Inner.ITS.S347",22.6,43.9,11.95,0,0,2.83,3.85,0,0,5.6,16.42,7.3,18.48,1.62,2.17,2.17,2.17,0,1.55,0,0,0.28,0,0,3.5,0
"H3Outer.ITS.S349",84.17,5.15,9,0,0,0,4.15,0,0,1.82,7.7,5.08,80.53,1.82,0,0.1,0.1,0,3.92,0,0,0,0,0,3.15,0
"H301Inner.ITS.S339",61,49.73,31.12,0,0.32,0,8.72,0,0,22.38,52.02,27.2,48.35,22.4,0,0,0,0,3.92,0,0,0,0,0,8.72,0
"H301Mineral.ITS.S341",1.73,27.05,57.3,0,0.6,55.67,0.52,0,0,2.22,0.17,1.35,0.52,0,1.18,6.97,0.55,0,0,0,0,1.43,3.45,2.7,0.17,0
"H301Organic.ITS.S343",14.12,26.52,64.5,0.1,4.72,55.27,6.25,0,0,13.97,2.67,4.05,4.12,0.03,2.22,2.1,6.42,0.25,0,0,0,5.5,0.58,0,0.42,0
"H301Outer.ITS.S345",62.62,46.5,12.07,0,0,0,12.07,0,0,0,58.58,25.85,50.55,0,0,0,0,0,0,0,0,0,0,0,12.07,13.78
"H4Inner.ITS.S351",41.33,36.9,19.6,0,0,0,14.45,0,0,12.55,35.6,19.6,33.7,4.88,0,0,0,0,0,0,0,0,0,0,2.75,0
"H4Organic.ITS.S353",4,32.73,57.92,0.12,0.92,54.75,1.35,0.25,0,16.18,0.72,2.58,2.12,0.05,1.8,12.5,7.55,0.12,1.75,0,0,0.82,0.42,0.03,0.12,0
"H4Outer.ITS.S355",45.6,69,16.77,0,1.62,0,0.88,0,0,18.9,44.23,21.88,44.73,14.15,0.92,0.92,0,0.3,0,0,0,0,0,0,0,5.1
"H5Inner.ITS.S357",10.53,41.92,5,0,0.68,0,1.42,0.42,0,3.8,6.75,3.28,9.05,2.1,0.4,0,0,0.42,1.38,0,0,0,0,0,1.07,0
"H5Mineral.ITS.S359",16.42,60.85,61.58,0,2.33,20.08,5.9,0.08,0,6.68,4.78,11.6,4.32,0.55,7.35,7.9,3.33,0.07,0,0,0,6.8,0.17,0.07,2.95,0
"H5Organic.ITS.S361",8.33,31.9,58.98,0.1,1.88,51.73,2.75,0.28,0,14.35,1.62,4.85,2.98,0.1,2.72,8.15,7.7,0.15,0.1,0,0,4.1,1.5,0.12,1.05,0.03
"H5Outer.ITS.S363",59.17,76.53,34.38,0,9.38,0,5.32,0,0,49.17,54.45,35.88,46.85,32.88,0,0,0,0,1.93,0,0,0,0,0,1.5,3.42
"HM8Inner.ITS.S149",18.8,35.88,17.38,0,0,0,4.58,0,0,1.45,12.48,27.77,14.22,0,13.85,13.85,0,0,0,0,0,0,0,0,0,12.48
"HM8Mineral.ITS.S152",27.02,31.95,58.42,0,2.22,41.62,6.4,0,0,6.85,4.55,11.97,15.72,0.75,9.78,17.72,3.28,0.1,0.28,0,0,3.67,0.32,0.3,0.95,0.05
"H8Organic.ITS.S365",12.22,34.2,53.48,0.1,0.88,46.35,6.12,0.1,0.08,10.93,4.42,3.3,3.08,0.15,2.8,14.9,4.85,0.2,4.88,0,0,1.5,0.55,0,0,0
"HM8Outer.ITS.S155",35.83,34.3,40.58,0,0.98,2.5,10.25,1.25,0,7.78,18.85,19.35,10.28,14.85,7.45,12.6,0,1.2,13.88,0,0,0,0,0,4.35,0
"H9Inner.ITS.S367",50.67,46.88,19.55,0,0.82,0,4.2,0,0,6.28,49.25,8.97,44.58,3.25,0,2.05,2.05,0,10.57,0,0,0,0,0,3.35,0
"H9Mineral.ITS.S369",26.55,30.98,59.6,3.1,4.38,42.05,5.32,3.1,3.1,7,1.8,13.6,17.97,0.2,11.43,12.68,2,0.07,0.03,0,0,3.58,0.1,0.07,1.4,0
"H9Organic.ITS.S371",40.68,33.55,40.7,13,14.57,33.88,15.4,13,13,17.58,1.35,4,23.08,0,3.55,12.55,2.8,0.1,0.05,0,0,2.12,0,0,0.22,0
"H9Outer.ITS.S373",83.57,95.35,83.57,0,0,0,0,0,0,87.32,79.75,79.75,79.75,83.57,0,0,0,0,3.83,0,0,0,0,0,0,0
"HX2Inner.ITS.S375",42.92,55.02,29.68,0,0,0,0,0,0,25.12,33.62,25.12,39.7,25.12,0,0,0,0,4.55,0,0,0,0,0,0,0
"HX2Mineral.ITS.S377",14.78,30.65,51.92,0,6.28,27.4,9.8,0.5,0,4.78,7.75,15.82,2.9,0.38,11.47,10.78,0.25,0.28,0.03,0.15,0,0.35,0.62,0.5,4.7,0
"HX2Organic.ITS.S379",9.3,33.62,32.98,0.03,16.9,25.7,1.75,1.18,0,16.2,3.92,6.12,5.15,0.88,6.95,11.28,0.2,0.42,0,0.05,0.07,0.3,2.4,2.4,0.42,0.03
"HMX3Inner.ITS.S158",35.95,65.42,39.17,0,0.22,3.08,0,1.27,0,27.42,34.77,43.23,35.4,21.5,10.47,11.25,0.6,0,0,0,0,0.65,0,0,0,7.12
"HX3Mineral.ITS.S383",19.38,34.08,65.75,0,4.42,39.05,14.25,0.38,0,4.45,8.9,16.45,3.92,0.1,8.75,7.68,1.02,0.98,0,0,0,1.07,0.03,0,7.53,0.05
"HX3Organic.ITS.S385",22.1,33.65,57.15,2.02,9.1,44.23,18.25,2.6,2.02,9,5.6,10.12,2.95,0.15,6.18,12.65,1.07,2.05,0.05,0.03,0,1.02,0.07,0,4.47,0.08
"HMX3Outer.ITS.S161",15,40.77,29.2,0,4.9,0,2.12,0,0,20.88,11.93,29.2,12.47,9.4,16.73,11.82,0,0,0,0,0,0,0,0,0,0
"HX4Inner.ITS.S387",21.65,46.2,8.55,0,1.62,0,0,0,0,28.73,21.65,4.18,21.65,4.18,0,0,0,0,4.38,0,0,0,0,0,0,0
"HX4Mineral.ITS.S389",17.42,34.25,58.17,0.25,7.88,39.88,10.32,0.2,0,8.9,3.22,10.68,4.35,0,7.9,10.22,1.45,0.35,0,0,0,2.85,0.55,0.55,2.62,0
"HX4Organic.ITS.S391",10.47,38.3,36.85,0,4.15,20.52,6.5,0.65,0,8.6,2.43,13.5,2.88,0.03,8.68,12.53,1.98,1.2,0.1,0,0,2.52,0.48,0,1.98,0
"HX4Outer.ITS.S393",20.92,13.27,2.72,0,0,0,8.18,0,0,2.3,4.22,2.72,12.75,0,0,0,9.47,0,0,0,0,0,0,0,2.72,0
"HX5Inner.ITS.S395",16.42,96.45,6.47,0,0.7,0,1.85,0,0,50.73,13.57,5.05,7.08,2,0,0,0,0,0,0,0,0,0,0,0.42,0
"HX5Outer.ITS.S397",31.15,43.58,9.2,0,0,0,8.3,0,0,27.65,19.6,9.2,22.85,11.45,0,0,0,0.55,0,0,0,0,0,0,7.2,0
"HZ1Inner.ITS.S399",30.48,34.25,21.73,0,1.15,4.5,2.22,2.5,0,15.7,7.38,8.97,22.08,13.55,1.3,3.17,0.6,0,4.85,0,0.98,0,0,0,0,0
"HZ1Mineral.ITS.S401",14.07,33.27,43.05,0.07,3,33.58,5,0.95,0,4.85,2.67,5.92,7.42,0,2.75,2.98,0.52,0.65,0,0.1,0,1.35,1.95,1.95,1.77,0.17
"HZ1Organic.ITS.S403",18.62,25,53.23,0.03,3.9,38.6,6.75,0,0,5.18,2.78,7.32,7.82,0.05,3.78,6.2,0.72,1.05,0,0.05,0,2.92,0.58,0.55,1.1,0
"ML2Inner.ITS.S407",16.72,16.23,12.93,0,0.05,0,0.1,0,0,0.32,0.65,11.95,16.05,0.48,0,0.25,0.22,0.5,0.38,0,0.1,0,0,0,0.1,0
"ML2Mineral.ITS.S409",24.02,44.88,33.6,0.22,3.62,14.88,4.6,0.25,0.22,7.78,1.07,11.25,13.93,0.03,9.45,18.52,3.17,0.15,0,0,0.05,6.18,0.1,0.05,0.8,0
"ML2Organic.ITS.S411",31.4,42.65,55.85,9.62,12.03,49.33,17.25,9.62,9.62,22.1,0.75,3.4,11.15,0.05,2.33,10.53,9.45,0.2,0,0,0.03,3.4,0.4,0,0.3,0
