"","Pathotroph","Saprotroph","Symbiotroph","Bryophyte Parasite","Dung Saprotroph","Ectomycorrhizal","Fungal Parasite","Leaf Saprotroph","Plant Parasite","Wood Saprotroph","Animal Pathogen","Endophyte","Plant Pathogen","Lichen Parasite","Litter Saprotroph","Soil Saprotroph","Plant Saprotroph","Epiphyte","Lichenized","Arbuscular Mycorrhizal","Endomycorrhizal","Ericoid Mycorrhizal","Orchid Mycorrhizal","Root Associated Biotroph","Clavicipitaceous Endophyte","Animal Endosymbiont"
"RM302Organic.ITS.S635",13.18,41.02,61.5,0,2.62,56.1,10.35,0,0,17.92,1,4.03,1.98,0.15,2.8,17.2,12.35,0.28,0.07,0,0,2.58,0.68,0,0,0
"RM302Outer.ITS.S637",5.8,18.02,3.17,0,0,0,0,0,0,1.05,5.22,0.75,5.45,0.75,0,0.5,0,0,2.42,0,0,0,0,0,0,0
"RM303Inner.ITS.S639",1.3,1.73,2.17,0,0,0,0.55,0,0,0.98,0.75,0.55,1.3,0,0,0,0,0,1.62,0,0,0,0,0,0,0
"RM303Mineral.ITS.S641",14.12,44.08,38,0.07,2.33,19.9,5.12,0.07,0.07,7.28,1.68,9.57,6.08,0.12,6.7,20.6,3.52,0,0,0.03,0.05,4.42,1.5,1.45,1.2,0
"RM303Organic.ITS.S643",10.5,19.35,66.95,0.03,1.75,57.42,4.95,0.03,0,9.5,2.67,4.8,2.55,0.22,2.2,6,4.55,0.2,0.22,0,0,4.6,0.52,0.38,1.9,0
"RM303Outer.ITS.S645",5.88,13.57,2.52,0,0.45,0,0,0,0,6.12,3.95,1.5,5.53,0.35,0.42,0.77,1.65,0,1.57,0,0,0,0,0,0,0
"RM304Inner.ITS.S647",52.85,92.17,51.77,0,51.75,0,0,0,0,0.6,52.67,52.5,52.77,51.77,0,0,0,0,0,0,0,0,0,0,0,0.72
"RM304Mineral.ITS.S649",15.38,33.85,61.7,0,2.33,39.65,5.18,0.03,0,7.25,3.2,12.53,5.45,0.05,9.4,9.53,3.2,0.17,0.1,0,0,5.97,0,0,2.32,0
"RM304Organic.ITS.S651",13.93,27.58,64.65,0.4,4.9,51.85,6.08,0.32,0.07,13.72,2.55,8.88,4.72,0.48,4.9,5.08,3.67,0.88,0.22,0,0.03,4.2,0.62,0.15,1.73,0
"RM304Outer.ITS.S653",0.98,1.2,0.92,0,0,0,0.22,0,0,0.4,0.82,0.48,0.75,0.4,0,0,0,0,0.45,0,0,0,0,0,0.07,0
"RM4Inner.ITS.S657",2.5,24.08,2.08,0,0,0,0,0,0,3.2,2.25,2.08,2.5,2.08,0,0,0,0,0,0,0,0,0,0,0,0
"RM4Mineral.ITS.S659",13.8,27.88,36.77,0.2,0.85,25.92,1.52,0.2,0.2,5.5,1.52,8.18,11.12,0.2,6.85,16.73,4.55,0.15,0.17,0.03,0,1.25,0.55,0.3,0.9,0
"RM4Organic.ITS.S661",7.85,31.92,59.45,0.1,0.45,56.48,3.12,0.28,0,23.6,0.17,2.45,3.9,0,1.9,5.5,4.65,0.07,0.72,0,0,1.88,0.85,0,0.03,0
"RM4Outer.ITS.S663",6.53,7.53,4.5,0,0.82,1.23,1.25,0,0,4.8,3.55,2.85,5.95,1.27,0,0,0,0,0.42,0,0,0,0,0,0.58,0
"RM5Inner.ITS.S685",0.68,33.5,0.7,0,0.42,0.05,0.28,0,0,0.75,0.5,0.65,0.4,0,0,0,0.05,0,0,0,0,0,0,0,0.28,0
"RM5Mineral.ITS.S687",23.32,20.82,36.7,2.6,2.83,32.73,3.75,2.6,2.6,8.15,0.2,2.92,18.62,0,2.45,9.57,4.82,0.22,0.17,0,0.03,1.6,0.52,0,0,0.03
"RM5Organic.ITS.S691",13.43,17.23,45.58,3.7,3.78,42.75,4.65,3.7,3.67,7.38,0.17,1.7,8.6,0.08,1.05,5.95,2.8,0.25,0.28,0,0,1.05,0.62,0,0,0
"RM5Outer.ITS.S693",10.62,6.65,7.05,0,0,0.22,5.1,0,0,1.57,9.88,6.5,5.2,1.35,0,0.28,0,0,0.32,0,0,0,0,0,5.1,0
"RM501Inner.ITS.S665",35.42,5.92,30.73,0,0,2.3,2.3,0.32,0,1.6,3.3,4.03,8.5,25.17,0,2.52,0.22,0,24.4,0,0,0,0,0,0,0
"RM501Mineral.ITS.S667",21.6,24.82,53.42,0.05,1.22,45.23,2.25,0.05,0,3.67,1.18,5.68,17.4,0,3.48,10.6,1.5,0.07,0,0,0,2.42,0.12,0.12,0.95,0
"RM501Organic.ITS.S669",12.18,34.67,68.22,0.35,2.02,63.58,9.32,0.58,0.25,17.35,0.7,1.9,2.33,0.1,0.92,11.47,9.53,0.25,0,0,0.03,0.88,0.2,0,0.1,0
"RM501Outer.ITS.S671",2.17,89.45,20.9,0,0.05,19.38,20.25,0,0,88.75,1.85,1.35,20.6,0.65,0,0,0,0,0.1,0,0,0,0,0,0.78,0
"RM502Mineral.ITS.S675",22.42,26.5,56,0.38,2,42.42,2.9,0.38,0.38,3.83,0.85,6.82,18.25,0,4.68,10.4,0.98,0.4,0,0,0,1.77,0,0,0.6,0
"RM502Organic.ITS.S677",7.85,38.85,61.55,0.55,1.45,41.55,5.88,0.85,0.25,10.82,0.5,3.15,2.35,0,2.2,6,5.3,0.48,0,0,0,1.68,0.92,0,0,0
"RM502Outer.ITS.S679",14.12,6.68,44.05,0,0,0,2.65,0.38,0,1.43,4.28,5.35,7.82,3.8,0,0.05,0,0,37.3,0,1.02,0,0,0,2.28,0
"RM503Inner.ITS.S179",1.15,86.85,0.98,0,0.28,0,0.28,0.03,0,3.55,0.4,0.48,0.58,0.7,0.03,0.03,0.28,0,0.5,0,0,0,0,0,0.05,0
"RM503Mineral.ITS.S681",27.27,29.5,57.92,0,1.92,42.05,7.47,0,0,6.88,4.15,13.07,14.93,0.1,8.72,14.43,4.43,0.15,0,0.03,0,2.52,0.28,0.22,1,0
"RM503Organic.ITS.S683",10.68,21.82,67.3,0.05,1.48,63.02,1.85,0.15,0,15.05,0.82,2.12,5.03,0.15,1.5,1.43,3.3,0.2,0.03,0,0,2.92,0.42,0.03,0,0
"RM503Outer.ITS.S182",45.3,62.17,21.4,0,0.07,1.85,4.28,0.82,0,1.38,29.12,5.03,27.35,14.62,0.72,0.85,0.28,0.38,14.1,0,0,0,0,0,2.6,0
"RMS1Mineral.ITS.S697",23.82,33.15,31.48,3.17,4.3,22.42,8.4,3.17,3.17,16.97,4.08,6.47,17.35,0,1.75,9.25,8.75,0.1,0,0,0,1.77,0.35,0,0.1,0
"RMS1Organic.ITS.S699",21.98,31.7,47.88,0.15,4.92,37.98,10.15,0.38,0.15,15.65,2.05,4.35,9.95,0.15,2.12,3.02,9.9,0.07,0.38,0.17,0,3.78,0.88,0.6,0.6,0
"RMS1Outer.ITS.S701",49.73,8.62,33.85,0,0,0.3,0.3,0.9,0,2.6,5.32,0.72,16.6,32.83,0,0.3,0,0,32.83,0,0,0,0,0,0,0
"RO1Mineral.ITS.S761",27.82,32.75,44.42,0,0.62,28.02,1.05,0.03,0,4.73,0.35,9.58,21.77,0.12,8.93,14.55,3.8,0.15,0,0,0,5.28,0.4,0.2,0.03,0
"RO1Organic.ITS.S763",20.62,21.45,58.75,0,0.22,52.3,1.55,0.25,0,3.4,0.48,5.08,14.57,0.15,4.38,1.22,2.15,0.42,0.1,0,0,7.6,3.25,0.03,0,0
"RO1Outer.ITS.S765",23.38,14.62,22.08,0,0,0.1,0.52,0,0,0.48,5.62,1.05,22.8,0.48,0,0.05,0,0,21.02,0,0,0,0,0,0.38,0.1
"RO10Mineral.ITS.S739",26.9,30.5,64.1,1.45,2.72,44.2,11.82,1.45,1.45,6.35,3.6,16.38,12.32,0.05,12.25,15.75,2.8,0.05,0.05,0,0,3.28,0.03,0,3.35,0.1
"RO10Organic.ITS.S741",23.6,19.55,57.6,0.03,2.28,48.65,2.17,0.03,0.03,5.58,1.7,5.55,18.65,0,4.75,4.7,2.8,0.1,0,0,0,3.25,0.15,0,0.15,0
"RO10Outer.ITS.S743",18.38,13.95,22.58,0,1.3,0,1.2,0,0,8.08,10.22,10.1,16.92,6.58,0,0,0.45,0.7,13.72,0,0,0,0,0,1.2,1.25
"RO101Mineral.ITS.S705",15.97,28.42,65.78,0,2.72,47.75,2.55,0.07,0,6.08,6.65,14.88,5.38,0.2,12.65,13.55,3.08,0.15,0,0,0.03,3.1,0,0,0.28,0.1
"RO101Organic.ITS.S707",5.9,17.18,80.28,0.03,5.97,74.72,2.62,0,0,9.93,0.62,3.17,1.12,0.12,3.92,2.58,3.62,0.08,0.07,0,0,2.75,0.25,0,0,0
"RO101Outer.ITS.S709",6.22,5.97,4.95,0,2.72,0,0,0,0,5.97,3.2,4.08,6.22,3.2,0,0,0,0,0.88,0,0,0,0,0,0,0
"RO102Inner.ITS.S185",25.45,44.1,31.2,0,0,3.45,2.48,0,0,11.07,9.12,27.75,24.5,4.82,16.68,16.68,0,0,0,0,0,0,0,0,0,0
"RO102Mineral.ITS.S711",15.53,34.77,60.23,1,3.65,41.15,4.8,2.33,0.9,11.75,2.08,16,10,0.17,12.8,13.57,3.48,0.12,0,0,0.05,1.62,0.12,0.12,0.48,0
"RO102Organic.ITS.S713",8.55,20.5,74.65,0,2.62,68.22,3.7,0,0,10.82,0.65,2.6,2.95,0.12,1.9,4.78,2.38,0.15,0.07,0,0,3.88,0.25,0.05,0,0
"RO102Outer.ITS.S188",53.85,72.03,44.17,0,0,0,5,0,0,27.08,47.27,63.48,53.85,27.08,17.1,17.1,4.53,0,0,0,0,0,0,0,0,19.3
"RO103Inner.ITS.S715",10.35,55.17,32.23,0,1.7,0,0,0,0,38.3,10.35,32.23,2.9,1.38,0,2.62,2.62,0,0,0,0,0,0,0,0,0
"RO103Mineral.ITS.S717",8.65,37.62,63.15,0,3.75,44.77,3.4,0,0,8.82,1.27,14.62,3.52,0.08,12.12,12.75,3,0.1,0.05,0,0,3.3,0.2,0.2,0.8,0
"RO103Organic.ITS.S719",17.02,10.2,79.55,0,2.42,72.53,11.2,0,0,5.55,0.15,2.08,1.57,0,1.75,2.28,2.02,0.12,0,0,0,5.25,0.22,0.07,0,0
"RO103Outer.ITS.S721",45.17,30.02,31.05,0,3.83,0,16.23,2.12,0,22.08,22.7,29.12,28.18,19.2,0,0,0,6.7,4.88,0,0,0,0,0,2.25,2.95
"RO104Mineral.ITS.S723",22.08,31.38,54.98,0,2.67,38.55,1.98,0,0,5.1,1.52,10.53,14.45,0.05,9.28,9.53,1.77,0.12,0,0,0,5.7,0.45,0.45,0.52,0
"RO104Organic.ITS.S725",7.42,10.45,74.38,0,1.4,69.35,1.77,0.1,0,4.88,0.05,3.72,4.55,0.08,2.78,2.35,2.83,0.22,0.05,0,0,2.2,0.52,0,0,0
"RO104Outer.ITS.S727",33.48,30.65,4.42,0,0,0,0.75,1.23,0,1.7,27.5,0.98,32.48,0.62,0.25,0.25,0.1,0,3.9,0,0,0,0,0,0.03,0.45
"RO105Mineral.ITS.S731",19.32,39.52,62.62,0.05,2.1,36.67,8.2,0.05,0.05,7.9,9.32,23.35,8.22,0.35,13.95,17.1,4.65,0.28,0,0,0,1.07,0,0,5.62,0
"RO105Organic.ITS.S733",14.1,14.72,70.6,0.15,1.88,66.33,5.75,0.03,0,6.58,2.52,3.48,7.38,0.03,2.18,2.88,4.02,0.12,0,0,0,0.92,0.17,0,0.88,0
"RO105Outer.ITS.S735",9.75,7.9,24.85,0,0.12,0,0,0.03,0,1.35,7.38,1.15,9.7,1.15,0,0,0,0,23.7,0,0,0,0,0,0,0
"RO11Inner.ITS.S745",58.33,78.33,49.03,0,20,0,9.55,0,0,69.03,48.78,49.03,49.03,39.48,0,0,0,0,0,0,0,0,0,0,0,0
"RO11Organic.ITS.S747",25.68,27.08,53.17,0.62,2.65,46.4,6.78,0.92,0.62,13.38,1.88,3.67,16.88,0,2.17,3.33,4.58,0.05,0,0,0,4.5,0.85,0,0,0
"RO11Outer.ITS.S749",47.45,98.28,47.38,0,50.83,0,47.17,0,0,98.12,0.28,47.45,47.45,0.2,0,0,0,0,0,0,0,0,0,0,0,0.15
"RO13Organic.ITS.S755",57.05,63.33,50.9,41.9,41.95,47.05,43.33,41.9,41.77,44.9,0.15,1.62,11.43,0,0.95,15.65,2.88,0.5,0,0,0,2.32,0.1,0,0,0
"RO13Outer.ITS.S757",22.82,21.68,12.93,0,1.75,0,1.8,0,0,12.95,21.65,16.32,21.1,11.12,0,0,0,0,0,0,0,0,0,0,1.73,3.4
"RO2Inner.ITS.S767",9.15,16.98,14.75,0.05,0.05,11.35,2.02,0.05,0.05,3.05,3.33,3,5.38,0,0.5,1.88,1.38,0,0,0,0,0,0,0,0.4,0
"RO2Mineral.ITS.S769",24.52,26.42,57.38,0,3.5,44.7,4.78,0.05,0,12.57,0.45,8.38,16.02,0.1,7.42,8.5,7.82,0.2,0.32,0,0.03,4.42,0.38,0.08,0.12,0.03
"RO2Organic.ITS.S771",10.88,23.7,67.3,0,2.08,63.9,3.5,0,0,13.05,0.1,2.98,5.97,0,2.65,6.28,6.2,0.1,1.62,0,0,2.98,1.38,0,0,0
"RO2Outer.ITS.S773",7.03,9.47,3.65,0,0,0,2.4,0,0,3.85,3.92,3.65,4.35,2.5,0,0.2,0,0,0,0,0,0,0,0,1.77,0
"RO3Inner.ITS.S191",47.83,75.08,48.55,0,16.73,0.05,27,0,0,33.35,20.92,48.5,43.6,16.65,0.03,4.53,5.62,0,0,0,0,0,0,0,0.65,0
"RO3Mineral.ITS.S775",29,34.6,59.5,0.03,1.98,35.75,9.62,0.08,0.03,9.03,3.85,18.25,16.7,0.2,13.4,13.62,3.65,0.15,2.28,0,0.03,3.45,0.2,0.08,3.47,0
"RO3Organic.ITS.S777",13.85,30.38,70.17,0.03,0.6,65.25,8.47,0.3,0,22.6,0.62,5,3.85,0.03,4.3,3.2,8.75,0.22,11.32,0,0,2.4,1.3,0,0.15,0.03
"RO3Outer.ITS.S194",55.23,85.83,66.03,0,0.03,0,25.25,0,0,70.05,22.42,64.67,53.72,19.95,0.03,19.88,0,0,0,0,0,0,0,0,17.58,0
"RO7Inner.ITS.S779",2.08,67.4,54.75,0,0.25,0,0,0.65,0,55.4,0.7,54.75,2.08,0.52,0,1.12,0,0.17,0,0,0,0,0,0,53.98,0
"RO7Organic.ITS.S781",18.18,25.6,54.45,0.1,2.52,50.45,2.98,0.12,0.03,13.88,0.65,2.33,12.8,0,1.83,1.5,3.12,0.17,0,0,0.03,2.72,0.6,0.05,0,0
"RO7Outer.ITS.S783",6.72,5,3.5,0.05,0,0,1.07,0.42,0,2.4,3.7,2.3,5.2,1.57,0.28,0.38,0,0.07,1.07,0,0.12,0,0,0,0.8,0
"RO7slash8Mineral.ITS.S785",31.05,31.1,57,0.28,2.43,47.9,13.43,0.28,0.28,5.45,0.65,6.8,18.12,0.05,5.42,15.32,1.6,0.15,0,0,0,1.62,0.22,0.17,0.1,0
"RO8Inner.ITS.S787",16.98,33.35,34.65,0,6.5,0,0.48,0,0,14.85,5.08,34.65,2.9,0,0,2,2.9,0,0,0,0,0,0,0,0.48,0
"RO8Outer.ITS.S789",29.85,28.75,33.4,0,0,0.75,18.27,0,0,28.27,11.78,29.85,29.2,10.65,0,9.15,0,0,2.8,0,0,0,0,0,0.65,0
"RO9Mineral.ITS.S793",21.15,34,58.73,0,1.62,38.38,3.08,0,0,5,1.05,14.68,15.68,0,12.35,14.6,1.73,0,0,0,0.03,3.83,0.72,0.7,0.92,0
"RO9Organic.ITS.S795",6,23.25,84.3,0,1.45,69.23,1.07,0.1,0,6.82,1.02,4.32,3.62,0,3.55,3,0.82,0.25,0,0,0,1.38,0.4,0,0.7,0
"RO9Outer.ITS.S797",2.52,9.8,1.88,0,0,0,0,0,0,9.1,2.52,1.82,2.52,1.82,0,0,0,0,0.05,0,0,0,0,0,0,0
"ROBowserInner.ITS.S197",7.8,87.72,9.15,0,0.75,0,2.85,0,0,78.08,3.33,8.6,4.28,1.93,5.75,5.75,0.2,0.72,0,0,0,0,0,0,0,0
"ROBowserOuter.ITS.S200",2.08,88.7,1.5,0,0.12,0,0.5,0.2,0,86.15,1.3,1.5,1.8,1.05,0.45,0.62,0,0,0,0,0,0,0,0,0,0
"SA1Mineral.ITS.S801",9.58,45.02,42.12,0.1,2.62,12,4.73,0.1,0.1,2.5,4.05,8.05,2.2,0.45,6.45,14.97,0.22,0.42,0,0,0.17,0.35,0.03,0.03,0.4,0
"SA1Organic.ITS.S803",16.7,54.4,28.25,0.5,10.32,9.38,7.82,1.02,0.35,13.68,4.92,13.5,7.55,2.4,10.45,9.93,0.35,1.28,0.32,0.07,0.1,0.15,0,0,0.72,0
"SA1Outer.ITS.S805",42.55,44.7,32.6,0,0.88,0.2,6.82,0.2,0,13.88,20.82,20.15,33.08,12.5,0.07,0.52,0,0.45,1.35,0,11.25,0,0,0,2.78,0.42
"SH1Mineral.ITS.S809",25.6,17.18,62.8,0.08,3.95,45.98,5.68,0,0,4.55,2.3,7.65,14.12,0.4,4.8,5.18,0.22,0.05,0.05,0,0,6.38,7.08,7.08,1.32,0.03
"SH1Organic.ITS.S811",18.92,37.67,43.17,0.2,8.15,37.52,1.68,10.95,0.17,14.72,0.8,3.78,15.65,0.2,8.07,3.95,0.35,0.1,0,0,0,1.5,4.55,4.55,0.1,0.12
"SH1Outer.ITS.S813",2.3,1.88,0.82,0,0,0,0.45,0,0,0.5,1.5,0.28,1.75,0.07,0,0,0,0.1,0.3,0,0,0,0,0,0.2,0
"SM1Mineral.ITS.S861",15.43,55.88,21.55,0.1,4.75,0.82,10.08,0.1,0.1,12.12,5.4,13.18,2.28,0.95,9.67,26.62,1.32,0.98,0.42,0.12,0.03,0.48,0,0,0.88,0
"SM1Outer.ITS.S865",3,2,4,0,0,0,0,0,0,2,2,2,0.25,0.75,0,2,2,0,2,0,0,0,0,0,0,0
"SM10Inner.ITS.S815",2.58,3.4,2.78,0,0,0,0,0.28,0,0.43,0,0.9,2.3,0.28,0.9,0.9,0,0,0.68,0,0,0,0,0,0,0
"SM10Mineral.ITS.S817",23.88,64.05,27.27,0.5,9.7,1.73,17.08,0.48,0.48,11.95,6.05,10.25,1.18,0.17,7.22,31.15,0.4,1.15,0,0.5,0,1.5,0,0,0.82,0
"SM10Organic.ITS.S819",20.27,73.05,29.15,0.15,10.22,0.88,14.62,0.28,0.15,17.1,4.08,11.85,4.95,1.1,5.5,23.42,0.48,1.6,0.1,0.8,0.03,0.8,0,0,0.22,0
"SM10Outer.ITS.S821",4.6,15.43,11.65,0,0,0,1.8,0.1,0,7.68,2.75,2.12,2.75,0.42,0,0.7,0,0,9.25,0,0,0,0,0,1.15,0
"SM11Inner.ITS.S823",2.85,1.2,0,0,0,0,0,0.1,0,0.1,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0
"SM11Mineral.ITS.S825",16.4,41.35,43.35,0,5.28,19.98,8.07,0.38,0,10.18,6.25,13.55,3.88,0.17,10.72,19.27,1.38,0.72,0,0.28,0,0.78,0,0,0.4,0.03
"SM11Outer.ITS.S829",3.75,7.35,3.17,0,0.28,0,1.02,0,0,4.88,2.48,3.4,2.42,1.07,1.48,2.55,0.32,0,0,0,0,0,0,0,0.62,0.22
"SM12Inner.ITS.S831",3.17,2.4,0.85,0,0,0,0,0,0,0.4,2.4,0.55,0.88,0.7,0,0,0,0,0.3,0,0,0,0,0,0,0
"SM12Mineral.ITS.S833",13.43,37,26.8,0,5.3,8.53,7.03,1.28,0,8.82,5.55,14.03,5.55,0.7,9.53,16.7,0.8,0.42,0,0.45,0,0.12,1.07,1.07,2.78,0
"SM12Outer.ITS.S837",1.82,0.2,1.55,0,0,0,0,0,0,0,0.2,0.17,0.25,1.38,0,0,0,0,1.38,0,0,0,0,0,0,0
"SM13Inner.ITS.S839",0.22,0.22,0.22,0,0,0,0,0,0,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0,0,0,0,0,0,0
"SM13Mineral.ITS.S841",22.52,38.85,46.6,0.05,13.47,23.98,10.2,0.08,0.05,8.38,5.6,14.07,10,0.03,9.07,11.55,1.07,1.2,0,0.17,0,0.4,6.15,6.15,2.58,0
"SM13Organic.ITS.S843",30.95,49.95,19.2,0,4.5,6.5,9.07,0,0,30.23,2.95,6.97,21.68,0.22,2.1,4.42,1.4,0.85,0.05,0.17,0.08,0.12,0.12,0.12,2.28,0
"SM13Outer.ITS.S845",1.3,10.08,1.43,0,0,0.15,0.22,0.82,0,10.08,0,0,1.45,0,0,0,0,0,1.27,0,0,0,0,0,0,0
"SM14Inner.ITS.S847",0.38,0.38,0.38,0,0.38,0,0,0,0,0,0.38,0.38,0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0
"SM14Mineral.ITS.S849",15.18,33.9,18.58,0.07,5.9,2.05,8.38,0.1,0.07,6.9,4.53,10.8,3.92,0.1,8.07,13.97,1.03,1,0,0.28,0,0,0.1,0.1,0.75,0
"SM15Inner.ITS.S855",0.88,2.42,3.45,0,0.12,0,0,0,0,1.23,0.88,0.88,0.65,0.65,0,0.22,0.45,0,2.58,0,0,0,0,0,0,0
"SM15Organic.ITS.S857",16.18,44.2,22.18,0.03,9.35,1.43,11.65,0.12,0.03,14.85,4.85,12.88,4.32,0.45,8.03,11.22,0.28,1.35,0,0.43,0,0.1,0,0,0.5,0
"SM15Outer.ITS.S859",0.68,2.65,0.7,0,0.48,0,0,0,0,1.3,0.55,0.12,0.68,0.1,0,0.05,0,0,0.58,0,0,0,0,0,0,0
"SM2Inner.ITS.S867",1.4,1.4,0.43,0,0,0,0.22,0,0,0.22,1.23,0.98,1.4,0,0,0,0.17,0,0.2,0,0,0,0,0,0,0.75
"SM2Mineral.ITS.S869",13.32,54.2,38.85,0.35,6.08,0.75,7.7,0.35,0.35,6.8,4.92,9.22,2.12,0.6,7.12,12.03,0.75,0.58,0.03,0.22,0.05,0.42,0,0,0.5,0
"SM2Organic.ITS.S871",19.85,47.12,24.5,0,6.12,0.12,13.88,0.05,0,10.28,4.53,11.28,2.95,1.77,8,9.57,1.05,0.72,0,0.45,0.05,0.6,0,0,0.65,0
"SM2Outer.ITS.S873",0.98,0.45,0.85,0,0,0,0,0,0,0.45,0.48,0,0.4,0.1,0,0,0,0,0.85,0,0,0,0,0,0,0
"SM3Inner.ITS.S875",3.95,7.58,3.7,0,0.62,0,0.25,0,0,3.22,3,1.3,0.7,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0
"SM3Mineral.ITS.S877",22.32,61.88,25.7,0.15,5.45,0.7,17.58,0.1,0.1,16.38,6.88,13,2.2,0.38,7.5,24.45,0.7,0.85,0,0.15,0,1,0,0,3.05,0
"SM3Organic.ITS.S879",29.85,57.25,27.92,0,4.12,0.07,25.02,0,0,12.95,10.95,13.38,4.22,2.18,2.78,14.05,1.65,0.45,0,0.17,0,0.8,0,0,7.78,0
"SM3Outer.ITS.S881",0.88,0.38,0,0,0,0,0,0,0,0.25,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0
"SM4Inner.ITS.S883",0.95,0.95,2.28,0,0,0,0,0,0,0.95,0.95,0.95,0.7,0.7,0,0,0,0,1.32,0,0,0,0,0,0,0
"SM4Mineral.ITS.S885",22.38,52.45,24.58,0.07,5.45,0.2,15.03,0.07,0.07,8.4,7.35,11.57,2.38,0.48,7.6,15.28,0.88,1.07,0,0.62,0,0.68,0,0,0.65,0
"SM4Organic.ITS.S887",26.02,58.5,25.9,0.17,5.18,0.42,18.77,0.1,0,9.97,9.03,12.3,3.28,1.18,6.18,9.2,1.4,2.25,0.55,1.05,0,0.62,0,0,1.6,0
"SM4Outer.ITS.S889",2.5,2.1,10.32,0,0,0,0,0,0,0.75,1.12,1.6,2.5,0.5,0,0,0,0,8.72,0,0,0,0,0,0,0
"SM5Mineral.ITS.S891",20.1,58.05,42.98,0.52,4.32,0.55,15.15,0.52,0.5,7.82,8.45,12.07,2.42,0.3,5.5,11.8,1.27,0.72,0,0.98,0.1,0.72,0,0,3.6,0
"SM5Organic.ITS.S893",33.12,59.05,31.77,0.03,6.8,0.08,25.1,0.03,0.03,12.32,12.65,14.1,3.33,0.85,4.32,21.52,1.5,0.8,0.12,0.45,0.1,2.18,0,0,6.7,0
"SM5Outer.ITS.S895",0.43,1.32,0.43,0,0,0,0.2,0,0,1.32,0.22,0.43,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0
"SM6Inner.ITS.S897",0.3,1.52,0.2,0,0.92,0,0,0,0,1.12,0.2,0.2,0.1,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0
"SM6Mineral.ITS.S899",13.4,71.65,48.98,0,3,0.03,9.78,0.03,0,5.53,6.22,12.18,1.85,0.38,6.58,13.72,0.85,0.78,0.03,0.3,0,1.05,0,0,3.5,0
"SM6Organic.ITS.S901",29.02,63.9,46.3,0.65,4.08,1.45,20.7,3.83,0.65,10.78,7.1,8.08,4.55,1.32,3.05,13,0.65,0.78,0.07,0.32,0,1.32,0,0,3,0
"SM6Outer.ITS.S903",4.85,5.4,1.52,0,0,0,0.1,0,0,1.5,3.28,0.42,2.02,0.42,0,0,0,0,1.1,0,0,0,0,0,0,0
"SM7Inner.ITS.S905",0,0.35,0,0,0.35,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SM7Mineral.ITS.S907",24.7,68.05,62.67,0.1,8.07,0.3,21.73,0.1,0.1,10.82,16.45,20.55,1.93,0.1,4.55,12,0.48,0.6,0,0.12,0.05,0.4,0,0,13.75,0
"SM7Organic.ITS.S909",22.02,68.08,52.98,0.2,9.6,2.35,15.85,0.17,0.15,14.47,8.1,9.7,2.25,0.48,3.38,10.5,0.52,0.88,0,0.55,0,1.5,0,0,4.42,0
"SM7Outer.ITS.S911",11.43,10.9,4.47,0,0,0,2.15,0,0,7.3,3.4,3.28,8.3,0.35,0,0,0,0,1.2,0,0,0,0,0,1.35,0
"SM8Inner.ITS.S913",0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0
"SM8Mineral.ITS.S915",21,51.85,24.15,0.85,5.75,3.02,13.35,0.88,0.85,8.6,9.05,14.57,2.35,0.43,9.5,22.15,0.6,1.12,0.07,0.72,0.05,0.6,0,0,2.15,0
"SM8Organic.ITS.S917",26.75,48.08,25.12,0.22,6.05,0.92,15.45,0.15,0,9.88,8.3,11.18,4.3,1.4,4.25,9.07,2.3,1.68,0,2,0,4.72,0,0,3.65,0
"SM8Outer.ITS.S919",3.38,6.7,1.85,0,0,0,0,0.2,0,3.15,1.57,1.25,3.12,0,0,0.25,0.25,1,0.6,0,0,0,0,0,0,0
"SM9Inner.ITS.S921",0.55,1.07,0.4,0,0.2,0,0.1,0,0,0.6,0.4,0.4,0.25,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0
"SM9Mineral.ITS.S923",25.27,64.83,32.12,0.7,8.95,3.05,16.2,0.7,0.7,11.62,9.65,14,1.82,0.12,9.43,30.48,0.2,1.38,0,0.38,0,1.73,0,0,2.15,0
"SM9Organic.ITS.S925",31.82,53.12,30.68,0.1,9.32,1.18,20.5,1.1,0.07,13.12,9.8,13.65,4.25,0.5,6.97,12.15,1.8,2.28,0.05,1.18,0,1.82,0,0,2.83,0
"SM9Outer.ITS.S927",8.75,20.95,8.6,0,1.75,0,1.8,0.88,0,8.1,1.38,4.7,6.55,0,4.05,4.32,0,0,2.12,0,0,0.35,0,0,0,0
"WA1Mineral.ITS.S995",20.42,48.67,35.95,0.15,12.43,8.88,9.95,0.1,0.08,13.5,6.88,20.85,10.75,0.78,13.93,21.3,0.98,0.5,0,0.48,0,0.08,0,0,1.43,0
