"","methanotrophy","methanogenesis_by_CO2_reduction_with_H2","methanogenesis_by_reduction_of_methyl_compounds_with_H2","hydrogenotrophic_methanogenesis","methanogenesis","methanol_oxidation","methylotrophy","aerobic_ammonia_oxidation","aerobic_nitrite_oxidation","sulfate_respiration","sulfur_respiration","nitrate_denitrification","chitinolysis","dark_hydrogen_oxidation","nitrogen_fixation","cellulolysis","xylanolysis","dark_sulfide_oxidation","dark_oxidation_of_sulfur_compounds","manganese_oxidation","fermentation","aerobic_chemoheterotrophy","invertebrate_parasites","human_pathogens_septicemia","human_pathogens_pneumonia","human_pathogens_gastroenteritis","human_pathogens_diarrhea","human_pathogens_all","human_gut","animal_parasites_or_symbionts","plant_pathogen","aromatic_hydrocarbon_degradation","aromatic_compound_degradation","aliphatic_non_methane_hydrocarbon_degradation","hydrocarbon_degradation","iron_respiration","nitrate_respiration","nitrate_reduction","intracellular_parasites","chlorate_reducers","predatory_or_exoparasitic","nonphotosynthetic_cyanobacteria","photosynthetic_cyanobacteria","anoxygenic_photoautotrophy_S_oxidizing","photoheterotrophy","ureolysis"
"AB4Inner.16S.S4",0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0.42,0,0,0,0,6.3,52.1,0,0,0,0,0,4.62,4.62,0,0,0,0.84,0,0,0,0,4.62,0,0,2.1,0,0,0,0,0
"AB4Mineral.16S.S5",3.31,0,0,0,0,0,3.31,0,0,0,0,0,0,5.96,3.31,2.32,0,0,0,0,0,31.46,0,0,0,0,0,0.33,0,2.32,0,0,0,0,0,0,0,0.66,1.66,0,0.99,0.33,0,0,0.33,0
"AB4Organic.16S.S5",0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,2.17,0,0,0,0,0,26.27,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0.24,0,0,1.2,0,0.96,0.24,0,0,0,0
"AB4Outer.16S.S5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,60.42,0,0,0,0,0,2.08,2.08,0,0,0,2.08,0,0,0,0,2.08,0,0,0,0,0,0,0,0
"AB4slash6Mineral.16S.S5",1.27,0,0,0,0,0,1.27,0,0,0,0,0,0,8.86,1.27,1.9,0,0,0,0,0,36.08,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0.63,2.53,0,0,0.63,0,0,0,0
"AB4slash6Organic.16S.S6",0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,1.34,0,0,0,0,0,35.39,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,1.07,0,0.54,0.54,0,0,0.27,0
"AB4slash6Outer.16S.S6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,42.11,0,0,0,0,0,11.84,11.84,3.95,0,0,3.95,0,0,0,0,11.84,0,0,0,0,0,0,0,0
"AB5Inner.16S.S7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,8.11,25,0,0,0,0,0,1.35,1.35,0,0,0,0,0,0,0,0,1.35,0.68,0,0,0,0,0,0,0
"AB5Mineral.16S.S7",1.58,0,0,0,0,0,1.58,0,0,0,0,0,0,10.44,1.58,3.16,0,0,0,0,0,38.61,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0.32,1.27,0,0.95,0.32,0,0,0,0
"AB5Organic.16S.S7",0.18,0,0,0,0,0,0.18,0,0,0,0,0,0,2.65,0.18,1.94,0,0,0,0,0.18,31.22,0,0,0,0,0,0.18,0,0.71,0,0,0,0,0,0,0.18,0,0.71,0,1.06,0.71,0,0,0.18,0
"AB5Outer.16S.S7",0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0.65,0,10.97,28.39,0,0,0,0,0,1.29,1.29,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0
"AB501Inner.16S.S6",0,7.64,0.36,8,0,0,0.36,0,0,0,0,0,0,19.64,0,0,0,0,0,0,3.27,28.36,0,0,0,0,0,0,0,0.73,0,0,0.36,0,0,0,0,0.36,0.73,0,0.36,0.36,0,0,0.36,0.36
"AB501Mineral.16S.S6",4.04,0,0,0,0,0,4.04,0,0,0,0,0,0,9.34,4.04,4.8,0,0,0,0,0,34.09,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0.76,0,0.25,0,0,0,0.25,0
"AB501Organic.16S.S6",0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,1.58,0,0,0,0,0,25.22,0,0,0,0,0,0.18,0,0.35,0,0,0,0,0,0.35,0,0,1.58,0,0.53,0.53,0,0,0.53,0
"AB501Outer.16S.S7",0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,18.03,70.49,0,0,0,0,0,14.75,13.11,0,0,0,0,0,0,0,1.64,13.11,0,0,0,0,0,0,0,0
"AB6Inner.16S.S8",1.02,0,0,0,0,1.02,0,0,0,0,0,0,0,0.51,0,0.51,0,0,0,0,9.18,38.78,0,0,0,0,0,0.51,0.51,2.04,0,0,3.06,0,0,0,0,0.51,0,0,0,0,0,0,0,1.02
"AB6Mineral.16S.S8",1.97,0,0,0,0,0,1.97,0,0,0,0,0,0,10.07,1.97,1.47,0,0,0,0,0,39.07,0,0,0,0,0,0.25,0,4.67,0,0,0,0,0,0,0,0.25,0.98,0,0.25,0.74,0,0,0,0.25
"AB6Organic.16S.S8",0,0,0,0,0,0,0,0,0,0,0,0,0,5.83,0,2.5,0,0,0,0,0,39.38,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0.42,0,0,1.25,0,0.62,0.42,0,0,0.21,0
"AB6primeInner.16S.S8",0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,2.49,30.35,0,0,0,0,0,1,1,1.49,0,0,0.5,0,0,0,0,1.49,1.99,0,0.5,0,0,0,0,0.5
"AB6primeMineral.16S.S9",2.79,0,0,0,0,0,2.79,0,0,0,0,0,0,10.41,2.79,2.79,0,0,0,0,0,36.29,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0.25,1.02,0,0.51,0,0,0,0.25,0
"AB6primeOrganic.16S.S9",0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,2.43,0,0,0,0,0.19,33.02,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0.19,0,0,1.12,0,0.75,0.56,0,0,0.19,0
"AB6primeOuter.16S.S9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB9Inner.16S.S9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,8.63,38.43,0,0,0,0,0,4.31,4.31,0.39,0,0,0.39,0,0,0,0,4.31,0,0,0,0,0,0,0,1.57
"AB9Mineral.16S.S9",0.44,0,0,0,0,0,0.44,0,0,0,0,0,0,2.22,0.44,1.78,0,0,0,0,0,25.33,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0.89,0,0.44,1.33,0,0,0,0
"AB9Organic.16S.S10",0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,1.27,0,0,0,0,0,25.16,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,1.59,0,1.27,0.64,0,0,0,0
"AB9Outer.16S.S10",0,2.27,2.27,4.55,0,0,2.27,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,59.09,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,2.27,0,0,0,0,0
"ABT14PInner.16S.S10",0.63,0,0,0,0,0.63,0,0,0,0,0,0,0,0.63,0,6.29,0,0,0.63,0,31.45,28.3,0,0,0,0,0,1.26,1.26,0,0,0,0.63,0,0,0,0,1.26,0,0,0,0,0,0,0,0.63
"ABT14PMineral.16S.S10",2.98,0,0,0,0,0,2.98,0,0,0,0,0,0,10.42,2.98,6.85,0,0,0,0,0,43.75,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0.3,1.19,0,0.3,0.3,0,0,0,0
"ABT14POrganic.16S.S10",0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,0,5.26,0,0,0,0,0,34.55,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,1.6,0,0.23,0.69,0,0,0,0
"ABT14POuter.16S.S11",0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,8.11,67.57,0,0,0,0,0,5.41,5.41,0,0,0,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0
"BB1Inner.16S.S17",0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,3.31,0,0,0,0,3.97,43.05,0,0,0,0,0,1.32,1.32,0,0,0,0,0,0,0,0,1.32,1.32,0,0,0,0,0,0,0
"BB1Mineral.16S.S17",3.79,0,0,0,0,0,3.79,0,0,0,0,0,0,8.93,3.79,1.34,0,0,0,0,0,34.38,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0.22,0,0.22,0.67,0,0,0.22,0,0,0.22,0
"BB1Organic.16S.S17",0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,0,5.97,0,0,0,0,0.15,24.2,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0.15,0,0.15,1.07,0,0.15,0.61,0,0,0,0
"BB1Outer.16S.S18",0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,14.97,0,0,0,0,2.4,46.71,0,0,0.6,0,0,2.4,1.8,0,0,0,0.6,0,0,0,0,1.8,0.6,0,1.2,0.6,0,0,0.6,0
"BB10Inner.16S.S11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.7,0,5.59,36.36,0,0,0,0,0,0.7,1.4,0.7,0,0,0.7,0,0,0,0,1.4,0.7,0,0,0,0,0,0.7,0
"BB10Organic.16S.S11",0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,3.67,0.77,1.35,0,0,0,0,0.19,27.22,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0.19,0.19,0.19,0,0.97,0.19,0,0,0.39,0
"BB10Outer.16S.S11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,7.47,39.66,0,0,0,0,0,5.75,5.75,0,0,0,0,0,0,0,0,5.75,0,0,0.57,0,0,0,0,0
"BB10primeInner.16S.S11",0.75,0,0.37,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0.37,4.87,0,0,0,0,17.98,25.84,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0.37,0.75,0,0,0.37
"BB10primeMineral.16S.S12",0.95,0,0,0,0,0,0.95,0,0,0,0,0,0,14.29,0.95,2.38,0,0,0,0,0,34.76,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0
"BB10primeOrganic.16S.S12",0.31,0,0,0,0,0,0.31,0,0,0,0,0,0,5.75,0.31,2.02,0,0,0,0,0,35.09,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0.31,0.31,0,1.55,0,0.62,0.93,0,0,0.16,0
"BB11Inner.16S.S12",0,0.86,0,0.86,0,0,0,0,0,0,0,0,0,1.72,0,7.76,0,0,0,0,12.07,34.48,0,0,0,0,0,1.72,1.72,0.86,0,0,0,0,0,0,0,1.72,0.86,0,0,0,0.86,0,0,0
"BB11Mineral.16S.S12",0.86,0,0,0,0,0,0.86,0,0,0,0,0,0,7.49,0.86,3.46,0,0,0,0,0,34.29,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0.29,0,1.44,0,0.29,0,0,0,0.29,0
"BB11Organic.16S.S13",0,0,0,0,0,0,0,0,0,0,0,0,0,4.74,0,1.69,0,0,0,0,0,24.37,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0.17,0,0,1.18,0,0.85,0.34,0,0,0.34,0
"BB12Inner.16S.S13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,28.15,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB12Mineral.16S.S13",5.19,0,0,0,0,0,5.19,0,0,0,0,0,0,9.61,5.19,1.56,0,0,0,0,0,35.32,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.52,1.04,0,0.52,0.26,0,0,0.26,0
"BB12Organic.16S.S13",0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,2.31,0,0,0,0,0,35.1,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,1.15,0,0.46,1.39,0,0,0,0
"BB13Inner.16S.S14",0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,7.75,0,2.11,0,0,0,0,6.69,50.7,0,0,0,0,0,3.52,3.52,0.7,0,0,0.7,0,0,0,0,3.52,0.7,0,0.7,0,0,0,0,0.7
"BB13Mineral.16S.S14",2.68,0,0,0,0,0,2.68,0.34,0,0,0,0,0,5.7,2.68,2.68,0,0,0,0,0,29.19,0,0,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0.34,1.01,0,0,0,0,0,0.34,0
"BB13Organic.16S.S14",0,0,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0.45,0,0,0,0,0,33.11,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0.67,0,1.12,1.57,0,0,0.22,0
"BB13Outer.16S.S14",1.23,0,0,0,0,1.23,0,0,0,0,0,0,0,12.35,0,0,0,0,0,0,22.22,49.38,0,0,0,0,0,13.58,13.58,0,0,0,0,0,0,0,0,13.58,0,0,0,0,0,0,0,1.23
"BB14Inner.16S.S15",0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,8.98,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,1.56,0,0,0,0,0
"BB14Mineral.16S.S15",3.52,0,0,0,0,0,3.52,0,0,0,0,0,0,10.84,3.79,1.08,0,0,0,0,0.27,36.04,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0.27
"BB14Organic.16S.S15",0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0.93,0,0,0,0,0,29.17,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0.46,0,1.08,0.46,0,0,0.15,0
"BB14Outer.16S.S15",0.4,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0.4,10.8,0,0,0,0,3.6,42.4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0.8,0.4,0,0,0.4,0
"BB16Inner.16S.S15",0.43,0,0,0,0,0.43,0,0,0,0,0,0,0,0.43,0,5.65,0,0,0,0,0.87,31.3,0,0,0,0,0,0.87,0.43,0,0,0,0.43,0,0,0,0.43,0.43,0.43,0,0.43,0.43,0,0,0.43,0.43
"BB16Mineral.16S.S16",0.9,0,0,0,0,0,0.9,0,0,0,0,0,0,11.38,0.9,2.69,0,0,0,0,0,45.21,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.3,0.9,0,0.3,0,0,0,0,0
"BB16Organic.16S.S16",0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0.92,0,0,0,0,0,27.52,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.18,0.92,0,0.73,0.73,0,0,0.18,0
